SimulationSecond,ReceiveRate,PacketsReceived,NumberOfSinks,RoutingProtocol,TransmissionPower,WavePktsSent,WavePtksReceived,WavePktsPpr,ExpectedWavePktsReceived,ExpectedWavePktsInCoverageReceived,BSM_PDR1,BSM_PDR2,BSM_PDR3,BSM_PDR4,BSM_PDR5,BSM_PDR6,BSM_PDR7,BSM_PDR8,BSM_PDR9,BSM_PDR10,MacPhyOverhead
0,0,0,10,protocol,7.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,0,10,protocol,7.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2,0,0,10,protocol,7.5,10,30,3,0,0,0,0,0,0,0,0,0,0,0,0,0.596585
3,0,0,10,protocol,7.5,10,30,3,0,0,0,0,0,0,0,0,0,0,0,0,0.47711
4,0,0,10,protocol,7.5,20,60,3,0,0,0,0,0,0,0,0,0,0,0,0,0.380952
5,0,0,10,protocol,7.5,20,60,3,0,0,0,0,0,0,0,0,0,0,0,0,0.305421
6,0,0,10,protocol,7.5,30,60,2,0,0,0,0,0,0,0,0,0,0,0,0,0.25741
7,0,0,10,protocol,7.5,30,60,2,0,0,0,0,0,0,0,0,0,0,0,0,0.234704
8,0,0,10,protocol,7.5,40,60,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0.215361
9,0,0,10,protocol,7.5,40,60,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0.202425
10,0,0,10,protocol,7.5,40,60,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0.193165
11,0,0,10,protocol,7.5,50,60,1.2,0,0,0,0,0,0,0,0,0,0,0,0,0.187678
12,0,0,10,protocol,7.5,50,60,1.2,0,0,0,0,0,0,0,0,0,0,0,0,0.184838
13,0,0,10,protocol,7.5,60,85,1.41667,0,0,0,1,1,1,0.5,0.333333,0.333333,0.333333,0.333333,0.333333,0.196278
14,0,0,10,protocol,7.5,60,77,1.28333,0,0,0,1,1,1,0.5,0.333333,0.333333,0.333333,0.333333,0.333333,0.201734
15,0,0,10,protocol,7.5,70,79,1.12857,0,0,0,1,1,1,0.5,0.25,0.25,0.25,0.25,0.25,0.200911
16,0,0,10,protocol,7.5,70,79,1.12857,0,0,0,1,1,1,0.5,0.25,0.25,0.25,0.25,0.25,0.19861
17,0,0,10,protocol,7.5,70,80,1.14286,0,0,0,1,1,1,0.357143,0.25,0.25,0.25,0.25,0.25,0.198743
18,0,0,10,protocol,7.5,80,110,1.375,0,0,0,0.95,0.633333,0.633333,0.38,0.271429,0.271429,0.271429,0.271429,0.271429,0.197673
19,0,0,10,protocol,7.5,80,115,1.4375,0,0,0,0.95,0.633333,0.633333,0.431818,0.327586,0.271429,0.271429,0.271429,0.271429,0.196655
20,0,0,10,protocol,7.5,90,148,1.64444,10,10,1,1,0.78,0.65,0.537931,0.433333,0.354545,0.354545,0.354545,0.354545,0.196227
