SimulationSecond,ReceiveRate,PacketsReceived,NumberOfSinks,RoutingProtocol,TransmissionPower,WavePktsSent,WavePtksReceived,WavePktsPpr,ExpectedWavePktsReceived,ExpectedWavePktsInCoverageReceived,BSM_PDR1,BSM_PDR2,BSM_PDR3,BSM_PDR4,BSM_PDR5,BSM_PDR6,BSM_PDR7,BSM_PDR8,BSM_PDR9,BSM_PDR10,MacPhyOverhead
0,0,0,10,protocol,7.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,0,10,protocol,7.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2,150.016,293,10,protocol,7.5,10,20,2,0,0,0,0,0,0,0,0,0,0,0,0,50384.1
3,230.912,451,10,protocol,7.5,20,20,1,0,0,0,0,0,0,0,0,0,0,0,0,17584.2
4,44.544,87,10,protocol,7.5,30,20,0.666667,0,0,0,0,0,0,0,0,0,0,0,0,13761.3
5,0,0,10,protocol,7.5,30,20,0.666667,0,0,0,0,0,0,0,0,0,0,0,0,12468.9
6,0,0,10,protocol,7.5,40,40,1,0,0,0,0,0,0,0,0,0,0,0,0,11308.4
7,0,0,10,protocol,7.5,50,60,1.2,0,0,0,0,0,0,0,0,0,0,0,0,10265.7
8,0,0,10,protocol,7.5,50,60,1.2,0,0,0,0,0,0,0,0,0,0,0,0,9404.11
9,0,0,10,protocol,7.5,60,70,1.16667,0,0,0,0,0,0,0,0,0,0,0,0,8630.11
10,0,0,10,protocol,7.5,70,90,1.28571,0,0,0,1,1,1,0.333333,0.25,0.25,0.25,0.25,0.25,7927.96
11,0,0,10,protocol,7.5,70,90,1.28571,0,0,0,1,1,1,0.333333,0.25,0.25,0.25,0.25,0.25,7317.44
12,0,0,10,protocol,7.5,80,89,1.1125,0,0,0,0,0.95,0.791667,0.316667,0.2375,0.19,0.19,0.19,0.19,6763.53
13,0,0,10,protocol,7.5,80,87,1.0875,0,0,0,0,1,0.37037,0.333333,0.25,0.2,0.2,0.2,0.2,6240.91
14,0,0,10,protocol,7.5,100,90,0.9,0,0,0,0,0.55,0.183333,0.183333,0.1375,0.11,0.11,0.11,0.11,5709.39
15,0,0,10,protocol,7.5,100,80,0.8,0,0,0,0,0,0,0,0,0,0,0,0,5293.22
16,0,0,10,protocol,7.5,110,79,0.718182,20,15,0.75,0.75,0.288462,0.15,0.125,0.107143,0.09375,0.09375,0.09375,0.09375,4916.17
17,0,0,10,protocol,7.5,120,107,0.891667,40,40,1,1,0.5,0.333333,0.25974,0.25,0.222222,0.222222,0.222222,0.222222,4562.68
