SimulationSecond,ReceiveRate,PacketsReceived,NumberOfSinks,RoutingProtocol,TransmissionPower,WavePktsSent,WavePtksReceived,WavePktsPpr,ExpectedWavePktsReceived,ExpectedWavePktsInCoverageReceived,BSM_PDR1,BSM_PDR2,BSM_PDR3,BSM_PDR4,BSM_PDR5,BSM_PDR6,BSM_PDR7,BSM_PDR8,BSM_PDR9,BSM_PDR10,MacPhyOverhead
0,0,0,10,protocol,7.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,0,10,protocol,7.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2,0,0,10,protocol,7.5,10,10,1,0,0,0,0,0,0,0,0,0,0,0,0,0.586885
3,0,0,10,protocol,7.5,10,10,1,0,0,0,0,0,0,0,0,0,0,0,0,0.416795
4,0,0,10,protocol,7.5,10,10,1,0,0,0,0,0,0,0,0,0,0,0,0,0.318212
5,0,0,10,protocol,7.5,20,20,1,0,0,0,1,1,1,1,1,1,1,1,1,0.244954
6,0,0,10,protocol,7.5,20,20,1,0,0,0,1,1,1,1,1,1,1,1,1,0.203832
7,0,0,10,protocol,7.5,20,20,1,0,0,0,1,1,1,1,1,1,1,1,1,0.178523
8,0,0,10,protocol,7.5,20,20,1,0,0,0,1,1,1,1,1,1,1,1,1,0.160088
9,0,0,10,protocol,7.5,30,20,0.666667,0,0,0,1,1,1,1,1,1,1,1,1,0.151103
10,0,0,10,protocol,7.5,30,20,0.666667,0,0,0,1,1,1,1,1,1,1,1,1,0.144777
11,0,0,10,protocol,7.5,30,20,0.666667,0,0,0,1,1,1,1,1,1,1,1,1,0.140081
12,0,0,10,protocol,7.5,30,20,0.666667,0,0,0,1,1,1,1,1,1,1,1,1,0.13826
13,0,0,10,protocol,7.5,40,20,0.5,0,0,0,1,1,1,1,1,1,1,1,1,0.151634
14,0,0,10,protocol,7.5,40,20,0.5,0,0,0,1,1,1,1,1,1,1,1,1,0.155794
15,0,0,10,protocol,7.5,40,20,0.5,0,0,0,1,1,1,1,1,1,1,1,1,0.1542
16,0,0,10,protocol,7.5,40,23,0.575,0,0,0,1,1,1,1,1,1,1,1,1,0.15267
17,0,0,10,protocol,7.5,50,30,0.6,0,0,0,1,1,1,1,1,0.5,0.5,0.5,0.5,0.155036
18,0,0,10,protocol,7.5,50,30,0.6,0,0,0,1,1,1,1,1,0.5,0.5,0.5,0.5,0.155217
19,0,0,10,protocol,7.5,50,20,0.4,0,0,0,1,1,1,1,1,0.5,0.5,0.5,0.5,0.155274
20,0,0,10,protocol,7.5,50,20,0.4,0,0,0,1,1,1,1,1,0.5,0.5,0.5,0.5,0.155323
21,0,0,10,protocol,7.5,60,30,0.5,0,0,0,1,1,1,0.5,0.5,0.384615,0.384615,0.384615,0.384615,0.156444
22,0,0,10,protocol,7.5,60,30,0.5,0,0,0,1,1,1,0.5,0.5,0.5,0.5,0.5,0.5,0.157394
