SimulationSecond,ReceiveRate,PacketsReceived,NumberOfSinks,RoutingProtocol,TransmissionPower,WavePktsSent,WavePtksReceived,WavePktsPpr,ExpectedWavePktsReceived,ExpectedWavePktsInCoverageReceived,BSM_PDR1,BSM_PDR2,BSM_PDR3,BSM_PDR4,BSM_PDR5,BSM_PDR6,BSM_PDR7,BSM_PDR8,BSM_PDR9,BSM_PDR10,MacPhyOverhead
0,0,0,10,protocol,7.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,0,10,protocol,7.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2,0,0,10,protocol,7.5,30,110,3.66667,0,0,0,0,0,0,0,0,0,0,0,0,0.780938
3,0,0,10,protocol,7.5,60,234,3.9,0,0,0,0,0,0,0,0,0,0,0,0,0.684629
4,0,0,10,protocol,7.5,80,298,3.725,0,0,0,0.9,0.9,0.9,0.3,0.225,0.18,0.18,0.18,0.18,0.616566
5,0,0,10,protocol,7.5,110,467,4.24545,0,0,0,1,1,1,0.5,0.4,0.333333,0.333333,0.333333,0.333333,0.552271
6,0,0,10,protocol,7.5,130,492,3.78462,0,0,0,1,0.666667,0.666667,0.333333,0.25,0.181818,0.181818,0.181818,0.181818,0.50807
7,0,0,10,protocol,7.5,170,602,3.54118,40,40,1,1,0.833333,0.833333,0.555556,0.357143,0.294118,0.294118,0.294118,0.294118,0.474592
8,0,0,10,protocol,7.5,200,705,3.525,40,40,1,1,0.917431,0.555556,0.416667,0.277778,0.238095,0.238095,0.238095,0.238095,0.445075
9,0,0,10,protocol,7.5,230,882,3.83478,40,40,1,1,0.857143,0.444444,0.324324,0.257511,0.196721,0.196721,0.196721,0.196721,0.421788
10,0,0,10,protocol,7.5,260,951,3.65769,60,60,1,0.99375,0.883333,0.459538,0.353333,0.290146,0.214865,0.214865,0.214865,0.214865,0.403035
11,0,0,10,protocol,7.5,280,970,3.46429,118,118,1,0.995455,0.9125,0.476087,0.377586,0.327844,0.252887,0.252887,0.252887,0.252887,0.388363
12,0,0,10,protocol,7.5,300,1069,3.56333,138,138,1,0.980769,0.904255,0.498047,0.375,0.32197,0.254491,0.254491,0.254491,0.254491,0.376679
13,0,0,10,protocol,7.5,340,1157,3.40294,156,155,0.99359,0.989286,0.796196,0.443939,0.357317,0.283915,0.211705,0.211705,0.211705,0.211705,0.371128
14,2.048,4,10,protocol,7.5,360,1215,3.375,192,190,0.989583,0.983051,0.811441,0.502625,0.418122,0.313934,0.235837,0.235837,0.235837,0.235837,0.374396
15,1.536,3,10,protocol,7.5,390,1222,3.13333,208,204,0.980769,0.946237,0.743816,0.498815,0.391264,0.2942,0.221579,0.221579,0.221579,0.221579,0.371349
16,2.048,4,10,protocol,7.5,420,1350,3.21429,244,244,1,0.958506,0.706989,0.526,0.425566,0.314405,0.234194,0.234194,0.234194,0.234194,0.364576
